"disaster.event","user.anon","date","lon","lat","user_date_freq"
"41_AuFire1",3748,2013-10-17,150.8248201,-22.66434465,1
"41_AuFire1",3766,2013-10-17,151.1267373,-22.66379102,1
"41_AuFire1",3774,2013-10-17,150.6552146,-22.62215929,1
"41_AuFire1",3782,2013-10-17,151.3931,-22.38526272,1
"41_AuFire1",3802,2013-10-17,150.9455903,-22.62100054,1
"41_AuFire1",3803,2013-10-17,151.2969265,-22.31202212,3
"41_AuFire1",3808,2013-10-17,151.2962388,-22.58841445,3
"41_AuFire1",3823,2013-10-17,151.3559471,-21.49319427,1
"41_AuFire1",3824,2013-10-17,150.9858237,-22.58179845,1
"41_AuFire1",3865,2013-10-17,151.2977907,-22.59671685,3
"41_AuFire1",3871,2013-10-17,151.1006868,-22.66786865,6
"41_AuFire1",3883,2013-10-17,151.0929738,-22.65986515,1
"41_AuFire1",3890,2013-10-17,150.8690294,-22.65619944,3
"41_AuFire1",3897,2013-10-17,151.2552082,-22.63841557,1
"41_AuFire1",3911,2013-10-17,151.2881657,-22.25228281,1
"41_AuFire1",3918,2013-10-17,150.8442266,-22.65270932,4
"41_AuFire1",3920,2013-10-17,150.3504109,-22.60157366,2
"41_AuFire1",3921,2013-10-17,151.4417317,-22.24162021,16
"41_AuFire1",3923,2013-10-17,150.71234,-22.65266772,2
"41_AuFire1",3939,2013-10-17,150.8283905,-22.62660267,10
"41_AuFire1",3940,2013-10-17,151.1229889,-22.60777029,1
"41_AuFire1",3944,2013-10-17,150.7122233,-22.63113522,2
"41_AuFire1",3950,2013-10-17,151.1192217,-22.65381332,1
"41_AuFire1",3968,2013-10-17,151.0692515,-22.59446132,1
"41_AuFire1",3975,2013-10-17,150.9831676,-22.61961248,14
"41_AuFire1",3981,2013-10-17,151.1004242,-22.64482213,1
"41_AuFire1",3989,2013-10-17,150.690837,-22.60540872,1
"41_AuFire1",3992,2013-10-17,150.6955423,-22.6121026,1
"41_AuFire1",3994,2013-10-17,151.3244897,-22.3065027,2
"41_AuFire1",4014,2013-10-17,151.1544795,-22.6420209,2
"41_AuFire1",4021,2013-10-17,151.0982802,-22.58216928,2
"41_AuFire1",4027,2013-10-17,151.4385529,-22.31403922,1
"41_AuFire1",4034,2013-10-17,151.4681431,-22.27120539,1
"41_AuFire1",4054,2013-10-17,151.3253978,-21.62373928,1
"41_AuFire1",4058,2013-10-17,150.9650702,-22.58973779,1
"41_AuFire1",4062,2013-10-17,151.1154415,-22.60516848,1
"41_AuFire1",4073,2013-10-17,151.299482,-22.57400529,1
"41_AuFire1",4079,2013-10-17,150.891785,-22.66929895,2
"41_AuFire1",4094,2013-10-17,150.9437975,-22.62056672,1
"41_AuFire1",4101,2013-10-17,150.96235,-22.62468472,1
"41_AuFire1",4124,2013-10-17,151.43419,-22.21421272,15
"41_AuFire1",4139,2013-10-17,151.16488,-22.48429272,5
"41_AuFire1",4142,2013-10-17,150.051008,-22.55691167,1
"41_AuFire1",4180,2013-10-17,150.7535843,-22.47760777,1
"41_AuFire1",4221,2013-10-17,151.265226,-22.67002272,1
"41_AuFire1",4237,2013-10-17,150.9855551,-22.65817507,4
"41_AuFire1",4247,2013-10-17,151.236161,-22.63169182,1
"41_AuFire1",4248,2013-10-17,150.9056813,-22.60826301,2
"41_AuFire1",4256,2013-10-17,151.0996433,-22.61382272,3
"41_AuFire1",4262,2013-10-17,151.4939367,-22.22316502,1
"41_AuFire1",4263,2013-10-17,151.1217928,-22.6636238,1
"41_AuFire1",4273,2013-10-17,150.9995808,-22.67080457,2
"41_AuFire1",4279,2013-10-17,151.2129835,-22.62363932,1
"41_AuFire1",4287,2013-10-17,150.8454668,-22.65215716,6
"41_AuFire1",4306,2013-10-17,150.6469967,-22.62925305,1
"41_AuFire1",4319,2013-10-17,151.2721217,-22.31059937,1
"41_AuFire1",4347,2013-10-17,151.121151,-22.6561684,3
"41_AuFire1",4349,2013-10-17,150.8271966,-22.63311736,5
